"Title","Description","Category","Thumbnail Image","Is Featured","ID","Created Date","Updated Date","Owner","Labels","thumbnailUrl","playbackUrl","UploadDate","OwnerName","Video","Portfolio (Item)","Heading Color","CategoryRef","Publish Date","Unpublish Date","Status"
"Evolve Contracting - National Small Business Week Highlight","DP | Gaffer | Editor | Audio
Shot on Sony FX6: 24-70mm f/2.8
Lights: Aputure Amaran COB 60x on a C-Stand w/lantern Diffuser.

""The Russell Center helps me build my business with programming that is tailor made for me."" - Channing Baker, Founder & CEO of Evolve Contractors https://evolve-contractors.com/

Throughout the years, National Small Business Week has grown in importance and recognition. It is a time to honor the hard work and dedication of small business owners and entrepreneurs who take risks and pursue their dreams. It is also a time to highlight the impact that small businesses have on local communities and the economy.
","Commercials","wix:image://v1/aeef42_7a5a1e21bcb349369b5cfce51e197341~mv2.jpg/Evolve%20Contracting%20-%20National%20Small%20Business%20Week%20Highlight.m4v#originWidth=3840&originHeight=2160",true,"0372a11a-0385-4ae2-94d2-666f8d4939f2",2025-01-24T09:12:15Z,2025-07-19T03:29:27Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_7a5a1e21bcb349369b5cfce51e197341~mv2.jpg","https://video.wixstatic.com/video/aeef42_55d75649953a40d4963f44cb2322046f/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_55d75649953a40d4963f44cb2322046f/Evolve%20Contracting%20-%20National%20Small%20Business%20Week%20Highlight.m4v#posterUri=aeef42_55d75649953a40d4963f44cb2322046ff000.jpg&posterWidth=3840&posterHeight=2160","/portfolio-1/evolve-contracting---national-small-business-week-highlight","#FFFFFF","a7b80c6e-f7f3-4320-bd59-38c356ae15df",2025-01-24T09:12:16Z,,"PUBLISHED"
"Caribbean Currency Live Vibes","Experience the vibrant energy of Caribbean Currency’s “Live Vibes” event, featuring dynamic performances and a celebration of Caribbean culture. This video showcases the spirit of unity, music, and unforgettable moments.
","Live Broadcast","wix:image://v1/aeef42_de69c46e54aa466cb4d377baeb26aef0~mv2.jpg/Caribbean%20Currency%20Live%20Vibes.jpg#originWidth=3840&originHeight=2160",,"07bddedd-3d06-4c44-b10a-3a2c1db9bcca",2025-01-24T04:13:05Z,2025-07-18T09:46:47Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_de69c46e54aa466cb4d377baeb26aef0~mv2.jpg","https://video.wixstatic.com/video/aeef42_d62f6ba8ce04461ab71530a5533a80f5/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_d62f6ba8ce04461ab71530a5533a80f5/Caribbean%20Currency%20Live%20Vibes.mp4#posterUri=aeef42_d62f6ba8ce04461ab71530a5533a80f5f000.jpg&posterWidth=1920&posterHeight=1080","/portfolio-1/cochran-films","#FFFFFF","645c4546-93f8-44f9-90cd-04a97b1d1570",2025-01-24T03:45:38Z,,"PUBLISHED"
"Maïré Rosa of eComSpaces - National Small Business Week Highlight","Meet Maïré Rosa of eComSpaces in this National Small Business Week highlight. Discover her inspiring journey as a leader in e-commerce innovation and how she’s empowering small businesses through creativity and collaboration.","Commercials","wix:image://v1/aeef42_a564fa653eee4790a1ea1e66efefe0be~mv2.jpg/Ma%C3%AFr%C3%A9%20Rosa%20of%20eComSpaces%20-%20National%20Small%20Business%20Week%20Highlight.mp4#originWidth=3840&originHeight=2160",,"09570d68-4234-496c-bc47-30a0bbe1d92a",2025-01-24T04:21:35Z,2025-07-18T09:46:47Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_a564fa653eee4790a1ea1e66efefe0be~mv2.jpg","https://video.wixstatic.com/video/aeef42_159032edd60c4680a7539940fc5374d5/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_159032edd60c4680a7539940fc5374d5/Ma%C3%AFr%C3%A9%20Rosa%20of%20eComSpaces%20-%20National%20Small%20Business%20Week%20Highlight.mp4#posterUri=aeef42_159032edd60c4680a7539940fc5374d5f000.jpg&posterWidth=1920&posterHeight=1080","/portfolio-1/ma%C3%AFr%C3%A9-rosa-of-ecomspaces---national-small-business-week-highlight","#FFFFFF","a7b80c6e-f7f3-4320-bd59-38c356ae15df",2025-01-24T03:45:38Z,,"PUBLISHED"
"Andre Dickens Atlanta Mayor Attends Women’s Fundraiser During Candidacy","This video documents Andre Dickens, then a mayoral candidate, attending a powerful women’s fundraiser event in Atlanta. Witness meaningful discussions on community, leadership, and the importance of civic engagement.","Corporate","wix:image://v1/aeef42_0d72d5e5a9fd48c8b90bf7641bcf38a1~mv2.jpg/Andre%20Dickens%20Atlanta%20Mayor%20Attends%20Women's%20Fundraiser%20During%20Candidacy.jpg#originWidth=3840&originHeight=2160",true,"1143bac7-2027-4220-ad7e-53a5d91a19cb",2025-01-24T04:26:15Z,2025-07-19T03:25:25Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_0d72d5e5a9fd48c8b90bf7641bcf38a1~mv2.jpg","https://video.wixstatic.com/video/aeef42_ab550ee6a99f4ed08b62e73b22038cb9/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_ab550ee6a99f4ed08b62e73b22038cb9/Andre%20Dickens%20Atlanta%20Mayor%20Attends%20Women's%20Fundraiser%20During%20Candidacy.mp4#posterUri=aeef42_ab550ee6a99f4ed08b62e73b22038cb9f000.jpg&posterWidth=1920&posterHeight=1080","/portfolio-1/andre-dickens-atlanta-mayor-attends-women%E2%80%99s-fundraiser-during-candidacy","#FFFFFF","e2695731-ce41-46d3-b7ce-cfabbcd2cfd1",2025-01-24T03:45:38Z,,"PUBLISHED"
"Southern Gas Corporate Insight","Gain exclusive insights into the Southern Gas industry with this video, showcasing strategic discussions and solutions tailored to the corporate landscape.","Corporate","wix:image://v1/aeef42_1c289bca3e0b47999bce809fce86fe38~mv2.jpg/Southern%20Gas%20Corporate%20Insights.jpg#originWidth=3840&originHeight=2160",,"253d03b0-1170-4d3f-99c2-efe4905612ca",2025-01-24T06:42:28Z,2025-07-18T09:46:47Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_1c289bca3e0b47999bce809fce86fe38~mv2.jpg","https://video.wixstatic.com/video/aeef42_7881fb57ef814133b8d1282555b62032/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_7881fb57ef814133b8d1282555b62032/Southern%20Gas%20Corporate%20Insight.m4v#posterUri=aeef42_7881fb57ef814133b8d1282555b62032f000.jpg&posterWidth=3840&posterHeight=2160","/portfolio-1/southern-gas-corporate-insight","#FFFFFF","e2695731-ce41-46d3-b7ce-cfabbcd2cfd1",2025-01-24T06:24:16Z,,"PUBLISHED"
"CCA: 30 Minute Free Training","Discover the essentials of content creation in just 30 minutes with this free training from Course Creator Academy. This session offers valuable tips and strategies to help you elevate your skills and take your creative projects to the next level. Perfect for beginners and aspiring creators!","Education","wix:image://v1/aeef42_98af632a0a284e7ca6113b0144cde5db~mv2.png/CCA_%2030%20Minute%20Free%20Training.jpg#originWidth=1280&originHeight=720",,"2ce88653-92a2-47c5-a417-c5bc54b664c6",2025-01-24T06:46:40Z,2025-07-18T09:46:47Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_98af632a0a284e7ca6113b0144cde5db~mv2.png","https://video.wixstatic.com/video/aeef42_e0482cefab6f4115b6611dad8db83c15/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_e0482cefab6f4115b6611dad8db83c15/CCA_%2030%20Minute%20Free%20Training.mp4#posterUri=aeef42_e0482cefab6f4115b6611dad8db83c15f000.jpg&posterWidth=1920&posterHeight=1080","/portfolio-1/cca%3A-30-minute-free-training","#FFFFFF","f32c9bad-76f2-4ac6-9620-d297657c0b82",2025-01-24T06:24:16Z,,"PUBLISHED"
"CCA: Lighting like a Professional","This video from the Course Creator Academy dives into professional lighting techniques for creators. Learn how to elevate your production value with expert tips on creating the perfect lighting setup.","Education","wix:image://v1/aeef42_e2eba770ecdf4b358e8ff5703e8d8852~mv2.png/CCA_%20Lighting%20like%20a%20Professional.png#originWidth=3454&originHeight=1942",,"3171b28a-0084-49bf-a712-6299cc11e47a",2025-01-24T05:02:38Z,2025-07-18T09:46:47Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_e2eba770ecdf4b358e8ff5703e8d8852~mv2.png","https://video.wixstatic.com/video/aeef42_6c9fb182b9d7411ead8a16d11e7c0377/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_6c9fb182b9d7411ead8a16d11e7c0377/CCA_%20Lighting%20like%20a%20Professional.mp4#posterUri=aeef42_6c9fb182b9d7411ead8a16d11e7c0377f000.jpg&posterWidth=1920&posterHeight=1080","/portfolio-1/cca%3A-lighting-like-a-professional","#FFFFFF","f32c9bad-76f2-4ac6-9620-d297657c0b82",2025-01-24T03:45:38Z,,"PUBLISHED"
"RICE Reveals New Refrigeration","This video highlights the Russell Innovation Center for Entrepreneurs’ (RICE) unveiling of cutting-edge refrigeration technology. Discover how innovation and entrepreneurship come together to revolutionize this vital industry.","Corporate","wix:image://v1/aeef42_d9b1500be39b4ed1a31550fe4401a488~mv2.jpg/RICE%20Reveals%20new%20Refrigeration.jpg#originWidth=3840&originHeight=2160",,"367f57f6-4c46-402f-85c8-7b0ee9c52a2d",2025-01-24T05:17:49Z,2025-07-18T09:46:47Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_d9b1500be39b4ed1a31550fe4401a488~mv2.jpg","https://video.wixstatic.com/video/aeef42_94d94e9fd17748abad50215fc079d20d/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_94d94e9fd17748abad50215fc079d20d/RICE%20Reveals%20new%20Refrigeration.m4v#posterUri=aeef42_94d94e9fd17748abad50215fc079d20df000.jpg&posterWidth=3840&posterHeight=2160","/portfolio-1/rice-reveals-new-refrigeration","#FFFFFF","e2695731-ce41-46d3-b7ce-cfabbcd2cfd1",2025-01-24T03:45:38Z,,"PUBLISHED"
"Scratch Master DJ POPO Presents ""OH MY GOSH POPO"" Vol 1. Episode 1","Cam Op. | A/V Tech Assistant 
Shot on Sony FX3: Tamron 35-150mm f/2.8, Sony 16-35mm f/2.8
Software: Adobe Premiere Pro

Huge shoutout to DJ POPO for bringing incredible energy and unmatched talent to every set! His ability to read the crowd and keep the vibe alive is next level. And with his new live DJ event series, he’s taking things up a notch, creating unforgettable experiences for music lovers. Keep an eye out—this is one event series you won’t want to miss!","Live Broadcast","wix:image://v1/aeef42_e557a622d1b44de2a704308423f9c637~mv2.jpg/DJ_POPO_Thumb.jpg#originWidth=1920&originHeight=1080",,"3baf7a39-4fe2-4eb8-ab23-a7a3469c615f",2025-01-14T17:35:18Z,2025-07-18T09:46:47Z,"aeef42c4-eeed-40b5-815f-bb2418ff85fa",,"https://static.wixstatic.com/media/aeef42_e557a622d1b44de2a704308423f9c637~mv2.jpg","https://video.wixstatic.com/video/aeef42_e574d9226e0c4e09b17cf610c6a3fe88/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_e574d9226e0c4e09b17cf610c6a3fe88/Scratch%20Master%20DJ%20POPO%20Presents%20%20OH%20MY%20GOSH%20POPO%20%20Vol%201.%20Episode%201.mp4#posterUri=aeef42_e574d9226e0c4e09b17cf610c6a3fe88f000.jpg&posterWidth=1920&posterHeight=1080","/portfolio-1/scratch-master-dj-popo-presents-%22oh-my-gosh-popo%22-vol-1.-episode-1","#FFFFFF","645c4546-93f8-44f9-90cd-04a97b1d1570",2025-01-14T17:35:17Z,,"PUBLISHED"
"A Bump In The Night Short","Directed by Cody Cochran for a Full Sail project, this suspenseful short film, A Bump in the Night, takes viewers on a thrilling ride filled with tension, creativity, and cinematic storytelling.","Shorts","wix:image://v1/aeef42_95ef13cb9950461d8f3b8a2ab4bc27fe~mv2.jpg/A%20Bump%20In%20The%20Night%20Short.jpg#originWidth=3840&originHeight=2160",,"534e9974-8a7b-42ed-b5c4-6c77d0c1bb10",2025-01-24T06:24:14Z,2025-07-18T09:46:47Z,"24628e87-bc7d-4d8b-87a2-28256dfcf603",,"https://static.wixstatic.com/media/aeef42_95ef13cb9950461d8f3b8a2ab4bc27fe~mv2.jpg","https://video.wixstatic.com/video/aeef42_b0fe2a8b8a144008ba2d463f247e7a05/1080p/mp4/file.mp4",,"Cochran Films","wix:video://v1/aeef42_b0fe2a8b8a144008ba2d463f247e7a05/A%20Bump%20In%20The%20Night%20Short.mp4#posterUri=aeef42_b0fe2a8b8a144008ba2d463f247e7a05f000.jpg&posterWidth=1920&posterHeight=1080","/portfolio-1/a-bump-in-the-night-short","#FFFFFF","4e603484-34c8-4f16-b729-02eca2475ee9",2025-01-24T06:24:16Z,,"PUBLISHED"
